community,tourism_poi_count_10km,attraction_count_10km,museum_count_10km,viewpoint_count_10km,accommodation_count_10km,recreation_count_10km,railway_feature_count_10km,major_road_feature_count_10km
Banff,1801,11,7,49,101,239,43,40
Canmore,166,3,2,17,51,266,53,56
Lake Louise,473,6,0,20,14,14,39,74
Cochrane,84,0,1,6,9,282,38,171
Bragg Creek,117,0,0,2,6,38,1,69
Calgary,515,39,8,21,98,4609,2514,1322
Sundre,22,1,2,0,13,34,0,21
Red Deer,114,4,3,15,33,631,111,456
Innisfail,12,1,3,0,5,94,42,43
Lacombe,39,1,1,5,6,254,94,98
Sylvan Lake,15,0,0,0,8,122,39,88
Stettler,13,0,1,0,9,196,90,56
Drumheller,38,4,3,3,15,62,49,126
Three Hills,6,0,1,0,5,26,21,10
