community,latitude,longitude,population_2021,primary_highway,highway_class,rail_access,has_rail,corridor,directly_on_river,tourism_baseline,is_reference_anchor
Banff,51.1784,-115.5708,8305,Highway 1,national_primary,CP mainline and Rocky Mountaineer,1,Bow River,1,5,0
Canmore,51.0890,-115.3590,16629,Highway 1,national_primary,CP mainline freight,1,Bow River,1,5,0
Lake Louise,51.4254,-116.1773,1000,Highway 1 and Highway 93,national_primary,CP mainline freight,1,Bow River,1,5,0
Cochrane,51.1894,-114.4679,32199,Highway 1A and Highway 22,regional_primary,CP spur freight,1,Bow River,1,3,0
Bragg Creek,50.9510,-114.5603,432,Highway 22 and Highway 66,regional_secondary,None,0,Bow River,1,3,0
Calgary,51.0447,-114.0719,1306784,Highway 1 and Highway 2,major_hub,CP and CN plus YYC airport,1,Bow River,1,5,1
Sundre,51.7974,-114.6408,2672,Highway 27 and Highway 22,regional_secondary,None,0,Red Deer River,1,2,0
Red Deer,52.2681,-113.8112,100844,Highway 2 QEII,national_primary,CP and CN freight,1,Red Deer River,1,3,0
Innisfail,52.0274,-113.9507,7985,Highway 2 QEII,national_primary,CN freight line,1,Red Deer River,0,2,0
Lacombe,52.4684,-113.7369,13396,Highway 2 QEII,national_primary,CP freight line,1,Red Deer River,0,2,0
Sylvan Lake,52.3083,-114.0960,15995,Highway 11,regional_primary,None,0,Red Deer River,0,4,0
Stettler,52.3236,-112.7047,5695,Highway 12 and Highway 56,regional_secondary,CN and heritage steam rail,1,Red Deer River,0,3,0
Drumheller,51.4636,-112.7195,7909,Highway 9 and Highway 56,regional_secondary,CN freight line,1,Red Deer River,1,5,0
Three Hills,51.7071,-113.2647,3171,Highway 21 and Highway 583,regional_secondary,None,0,Red Deer River,0,1,0
