community,latitude,longitude,population_2021,primary_highway,highway_class,rail_access,has_rail,corridor,directly_on_river,tourism_baseline,is_reference_anchor,tourism_poi_count_10km,attraction_count_10km,museum_count_10km,viewpoint_count_10km,accommodation_count_10km,recreation_count_10km,railway_feature_count_10km,major_road_feature_count_10km,highway_points,rail_bonus,transport_raw,log_population,osm_tourism_raw,osm_transport_raw,transportation_score,tourism_score,population_score,river_score,corriq_score,rank
Red Deer,52.2681,-113.8112,100844,Highway 2 QEII,national_primary,CP and CN freight,1,Red Deer River,1,3,0,114,4,3,15,33,631,111,456,85,10,95,5.003650063734618,731.5,567,100.0,80.0,100.0,100.0,95.0,1
Canmore,51.089,-115.359,16629,Highway 1,national_primary,CP mainline freight,1,Bow River,1,5,0,166,3,2,17,51,266,53,56,85,10,95,4.220866133312124,391.5,109,58.1,70.6,66.9,100.0,71.4,2
Banff,51.1784,-115.5708,8305,Highway 1,national_primary,CP mainline and Rocky Mountaineer,1,Bow River,1,5,0,1801,11,7,49,101,239,43,40,85,10,95,3.9193396367874134,542.5,83,55.7,83.7,54.2,100.0,71.3,3
Cochrane,51.1894,-114.4679,32199,Highway 1A and Highway 22,regional_primary,CP spur freight,1,Bow River,1,3,0,84,0,1,6,9,282,38,171,60,10,70,4.507842384080124,310.5,209,44.5,43.7,79.1,100.0,62.3,4
Lake Louise,51.4254,-116.1773,1000,Highway 1 and Highway 93,national_primary,CP mainline freight,1,Bow River,1,5,0,473,6,0,20,14,14,39,74,85,10,95,3.0,93.0,113,58.4,44.9,15.4,100.0,54.7,5
Lacombe,52.4684,-113.7369,13396,Highway 2 QEII,national_primary,CP freight line,1,Red Deer River,0,2,0,39,1,1,5,6,254,94,98,85,10,95,4.126975138867829,279.0,192,65.7,30.9,63.0,50.0,53.3,6
Drumheller,51.4636,-112.7195,7909,Highway 9 and Highway 56,regional_secondary,CN freight line,1,Red Deer River,1,5,0,38,4,3,3,15,62,49,126,40,10,50,3.898121575541108,111.5,175,23.2,46.5,53.3,100.0,50.4,7
Innisfail,52.0274,-113.9507,7985,Highway 2 QEII,national_primary,CN freight line,1,Red Deer River,0,2,0,12,1,3,0,5,94,42,43,85,10,95,3.9022749204745018,113.5,85,55.9,16.6,53.5,50.0,44.4,8
Sylvan Lake,52.3083,-114.096,15995,Highway 11,regional_primary,,0,Red Deer River,0,4,0,15,0,0,0,8,122,39,88,60,0,60,4.203984244420126,134.0,127,27.9,38.4,66.2,50.0,42.6,9
Stettler,52.3236,-112.7047,5695,Highway 12 and Highway 56,regional_secondary,CN and heritage steam rail,1,Red Deer River,0,3,0,13,0,1,0,9,196,90,56,40,10,50,3.7554937284151193,212.5,146,20.5,35.2,47.3,50.0,35.4,10
Sundre,51.7974,-114.6408,2672,Highway 27 and Highway 22,regional_secondary,,0,Red Deer River,1,2,0,22,1,2,0,13,34,0,21,40,0,40,3.426836453803508,62.5,21,0.0,12.2,33.4,100.0,29.7,11
Bragg Creek,50.951,-114.5603,432,Highway 22 and Highway 66,regional_secondary,,0,Bow River,1,3,0,117,0,0,2,6,38,1,69,40,0,40,2.635483746814912,51.0,70,4.5,21.3,0.0,100.0,26.9,12
Three Hills,51.7071,-113.2647,3171,Highway 21 and Highway 583,regional_secondary,,0,Red Deer River,0,1,0,6,0,1,0,5,26,21,10,40,0,40,3.501196242027089,36.5,31,0.9,0.0,36.6,50.0,17.6,13
